"county_code","date_id","Clinton","Trump","Stein","Johnson"
5071,1015,3.01,5.36,0.11,0.22
5073,1015,4.32,5.45,0.68,2.50
5075,1015,3.11,4.60,0.00,0.12
5077,1015,0.85,3.40,0.00,0.85
5079,1015,2.85,7.21,0.00,0.38
5081,1015,3.37,5.21,0.00,0.77
5083,1015,3.57,5.20,0.13,0.50
5085,1015,4.32,6.27,0.34,0.97
5087,1015,2.53,5.74,0.58,0.39
5089,1015,2.93,4.92,0.21,0.42
5091,1015,3.45,6.76,0.15,0.62
5093,1015,3.81,8.79,0.10,0.19
5095,1015,2.42,5.76,0.00,1.21
5097,1015,5.75,8.63,0.00,0.00
5099,1015,3.11,5.39,0.00,0.41
5101,1015,3.06,5.29,0.22,0.78
5103,1015,4.67,8.04,0.34,0.89
5105,1015,3.44,4.13,0.00,0.23
5107,1015,3.50,3.67,0.00,0.17
5109,1015,4.24,8.49,0.17,0.17
5111,1015,3.96,4.32,0.00,0.18
5113,1015,3.08,5.22,0.09,0.51
5115,1015,3.69,5.71,0.22,0.65
5117,1015,2.62,4.45,0.00,0.26
5119,1015,3.86,7.44,0.25,0.46
5121,1015,6.43,6.84,0.10,0.20
5123,1015,4.08,6.49,0.00,0.48
5125,1015,4.31,6.70,0.15,0.46
5127,1015,2.19,5.57,0.00,0.00
5129,1015,3.68,4.68,0.67,0.67
5131,1015,3.53,6.16,0.28,0.58
5133,1015,6.45,9.86,3.41,4.12
5135,1015,3.64,6.11,0.29,0.44
5137,1015,5.54,9.85,0.12,0.49
5139,1015,3.10,6.82,0.33,0.45
5141,1015,5.52,6.75,0.31,0.10
5143,1015,4.50,7.69,0.27,0.76
5145,1015,3.97,6.01,0.29,0.72
5147,1015,2.11,5.26,0.00,0.00
5149,1015,3.12,4.62,0.20,0.70
6001,1015,3.70,8.17,0.32,0.44
6003,1015,4.44,7.22,0.26,0.52
6005,1015,3.02,6.10,0.31,0.77
6007,1015,3.14,6.53,0.38,0.67
6009,1015,3.54,8.21,0.16,0.75
6011,1015,1.30,6.32,0.12,0.24
6013,1015,4.00,8.62,0.34,0.52
6015,1015,4.87,5.08,0.25,0.63
6017,1015,4.19,7.93,0.30,0.84
6019,1015,3.04,6.58,0.24,0.40
6021,1015,3.76,7.35,0.43,0.56
6023,1015,3.49,6.72,0.87,0.67
6025,1015,2.95,5.30,0.18,0.28
6027,1015,3.58,7.17,0.31,0.31
6029,1015,3.10,5.91,0.22,0.50
6031,1015,2.69,5.37,0.26,0.50
6033,1015,3.14,7.72,0.33,0.44
6035,1015,3.04,5.66,0.51,0.59
6037,1015,3.69,7.99,0.28,0.38
6039,1015,3.01,5.99,0.22,0.40
6041,1015,3.41,7.77,0.27,0.42
6043,1015,3.86,6.11,0.88,0.98
6045,1015,3.33,5.84,0.46,0.72
6047,1015,3.04,5.95,0.16,0.22
6049,1015,2.05,4.10,0.51,0.85
6051,1015,2.79,7.08,0.27,0.59
6053,1015,3.05,6.93,0.23,0.37
6055,1015,3.16,6.89,0.26,0.47
6057,1015,4.06,8.09,0.58,0.76
6059,1015,3.47,7.30,0.23,0.46
6061,1015,3.74,7.44,0.27,0.58
6063,1015,3.83,5.68,0.25,0.83
6065,1015,3.53,7.34,0.29,0.41
6067,1015,2.37,5.14,0.20,0.37
6069,1015,2.64,6.73,0.30,0.31
6071,1015,3.13,6.51,0.26,0.39
