views,uploader,county_code
42667,1,8005
17140,,8005
1092,1,8007
523,,8007
12,1,8009
620,1,8011
148,,8011
27822,1,8013
9585,,8013
7083,1,8014
1974,,8014
1111,1,8015
362,,8015
15,1,8017
151,1,8019
25,,8019
72,1,8021
40,,8021
52,1,8023
2,,8023
16,1,8025
666,1,8027
104,,8027
1747,1,8029
487,,8029
194750,1,8031
48594,,8031
7603,,8035
20666,1,8035
3374,1,8037
1715,,8037
493,1,8039
221,,8039
32379,1,8041
21200,,8041
501,1,8043
109,,8043
1740,1,8045
845,,8045
229,1,8047
98,,8047
327,,8049
784,1,8049
998,1,8051
300,,8051
7,1,8053
12,,8053
77,,8055
127,1,8055
14572,,8059
52255,1,8059
187,1,8063
105,,8063
759,1,8065
210,,8065
1202,,8067
2958,1,8067
17887,1,8069
7678,,8069
144,,8071
251,1,8071
267,1,8073
119,,8073
1162,1,8075
255,,8075
15999,1,8077
3706,,8077
57,1,8079
16,,8079
323,,8081
890,1,8081
487,1,8083
272,,8083
4145,1,8085
938,,8085
1924,1,8087
1488,,8087
575,,8089
2365,1,8089
198,1,8091
38,,8091
180,1,8093
150,,8093
89,1,8095
59,,8095
1504,1,8097
732,,8097
1021,1,8099
291,,8099
3461,1,8101
2738,,8101
32,1,8103
5,,8103
102,,8105
255,1,8105
516,,8107
838,1,8107
57,,8109
266,1,8109
10,1,8111
4,,8111
407,1,8113
196,,8113
24,1,8115
6,,8115
2609,1,8117
901,,8117
1291,1,8119
504,,8119
4,1,8121
15661,1,8123
4997,,8123
27,1,8125
4,,8125
54903,1,9001
29197,,9001
35331,1,9003
18043,,9003
8056,1,9005
4270,,9005
5446,1,9007
3011,,9007
39735,1,9009
20054,,9009
5351,,9011
9932,1,9011
5916,1,9013
3585,,9013
3515,1,9015
2270,,9015
2677,1,10001
1957,,10001
20180,1,10003
11183,,10003
5235,1,10005
3698,,10005
23904,1,12001
16611,,12001
1108,1,12003
452,,12003
16013,1,12005
8081,,12005
436,1,12007
266,,12007
46556,1,12009
28771,,12009
58515,1,12011
66014,,12011
2137,1,12013
656,,12013
10371,1,12015
4139,,12015
10768,1,12017
6175,,12017
7284,1,12019
5907,,12019
25200,1,12021
11735,,12021
2698,1,12023
1172,,12023
697,1,12027
453,,12027
343,1,12029
570,,12029
30090,1,12031
37085,,12031
12892,,12033
10810,1,12033
4715,1,12035
7524,,12035
1764,1,12037
604,,12037
2187,1,12039
675,,12039
103,1,12041
71,,12041
33,1,12043
20,,12043
438,1,12045
194,,12045
568,1,12047
258,,12047
784,1,12049
470,,12049
907,1,12051
655,,12051
10157,1,12053
10738,,12053
2732,1,12055
1947,,12055
153284,1,12057
80523,,12057
343,1,12059
157,,12059
8446,1,12061
4179,,12061
1142,1,12063
489,,12063
37,,12065
58,1,12065
11,1,12067
3,,12067
30051,1,12069
21350,,12069
67789,1,12071
27798,,12071
21065,1,12073
12011,,12073
605,1,12075
