views,uploader,county_code
28,1,8039
8,,8039
1929,,8041
3653,1,8041
7,,8043
37,1,8043
87,,8045
203,1,8045
20,1,8047
6,,8047
71,1,8049
42,,8049
24,,8051
92,1,8051
4,1,8053
6,,8053
5,,8055
10,1,8055
3515,1,8059
1375,,8059
24,1,8063
11,,8063
67,1,8065
31,,8065
437,1,8067
99,,8067
750,,8069
2008,1,8069
27,1,8071
17,,8071
13,1,8073
4,,8073
32,1,8075
25,,8075
671,1,8077
305,,8077
44,1,8081
47,,8081
82,1,8083
19,,8083
141,,8085
182,1,8085
149,,8087
218,1,8087
76,1,8089
66,,8089
13,1,8091
15,1,8093
8,,8093
8,1,8095
14,,8095
55,,8097
220,1,8097
67,1,8099
42,,8099
455,1,8101
225,,8101
10,,8103
3,1,8103
17,1,8105
6,,8105
103,1,8107
19,,8107
18,1,8109
9,,8109
1,1,8111
47,1,8113
14,,8113
1,1,8115
204,1,8117
64,,8117
130,1,8119
64,,8119
943,1,8123
567,,8123
1,,8125
1,1,8125
10172,1,9001
3531,,9001
6565,1,9003
2087,,9003
1546,1,9005
559,,9005
339,,9007
1109,1,9007
6879,1,9009
2385,,9009
612,,9011
1907,1,9011
416,,9013
1286,1,9013
259,,9015
715,1,9015
848,1,10001
428,,10001
4804,1,10003
2029,,10003
1423,1,10005
631,,10005
4937,1,12001
11670,,12001
85,1,12003
302,,12003
1219,1,12005
4703,,12005
97,1,12007
201,,12007
6888,1,12009
15029,,12009
15583,1,12011
50714,,12011
398,,12013
538,1,12013
1014,1,12015
2274,,12015
1673,1,12017
3290,,12017
789,1,12019
7993,,12019
2140,1,12021
6240,,12021
292,1,12023
805,,12023
70,1,12027
260,,12027
82,1,12029
768,,12029
6554,1,12031
50324,,12031
2469,1,12033
7833,,12033
11841,,12035
1102,1,12035
177,1,12037
372,,12037
449,,12039
393,1,12039
9,1,12041
47,,12041
6,1,12043
20,,12043
23,1,12045
62,,12045
10,1,12047
37,,12047
102,1,12049
241,,12049
116,1,12051
452,,12051
2226,1,12053
14182,,12053
428,1,12055
1285,,12055
19264,1,12057
70533,,12057
27,1,12059
178,,12059
3693,,12061
861,1,12061
64,1,12063
261,,12063
23,1,12065
20,,12065
1,1,12067
16,,12067
4228,1,12069
16991,,12069
17450,,12071
6220,1,12071
4306,1,12073
5819,,12073
56,1,12075
285,,12075
26,1,12077
23,,12077
21,1,12079
33,,12079
6846,,12081
3234,1,12081
2793,1,12083
8082,,12083
771,1,12085
2040,,12085
25894,1,12086
130650,,12086
489,1,12087
1364,,12087
288,1,12089
2153,,12089
5470,,12091
1780,1,12091
97,1,12093
850,,12093
23955,1,12095
72525,,12095
3790,1,12097
19469,,12097
49378,,12099
10531,1,12099
5544,1,12101
26874,,12101
14610,1,12103
117990,,12103
6937,1,12105
19540,,12105
328,1,12107
899,,12107
2133,1,12109
18951,,12109
36071,,12111
3936,1,12111
2732,1,12113
16394,,12113
6600,1,12115
18787,,12115
24452,,12117
7012,1,12117
1291,1,12119
6704,,12119
221,1,12121
1304,,12121
78,1,12123
364,,12123
601,1,12125
1331,,12125
5980,1,12127
25744,,12127
116,1,12129
845,,12129
332,1,12131
1122,,12131
55,1,12133
142,,12133
12,1,13001
12,,13001
25,1,13003
23,,13003
22,1,13005
33,,13005
305,1,13009
127,,13009
66,1,13011
11,,13011
347,1,13013
209,,13013
217,1,13015
176,,13015
85,1,13017
81,,13017
21,1,13019
8,,13019
654,1,13021
276,,13021
20,1,13023
11,,13023
18,,13025
49,1,13025
8,1,13027
5,,13027
190,1,13029
67,,13029
502,1,13031
175,,13031
29,1,13033
9,,13033
76,,13035
43,1,13035
294,1,13039
138,,13039
17,,13043
16,1,13043
223,,13045
523,1,13045
214,1,13047
150,,13047
5,1,13049
4,,13049
668,,13051
1429,1,13051
72,1,13053
45,,13053
38,,13055
58,1,13055
1503,1,13057
628,,13057
2069,1,13059
619,,13059
1,,13061
553,1,13063
397,,13063
2,,13065
4063,1,13067
1584,,13067
141,1,13069
74,,13069
98,,13071
125,1,13071
580,1,13073
296,,13073
15,,13075
27,1,13075
473,1,13077
267,,13077
6,1,13079
3,,13079
48,1,13081
25,,13081
30,1,13083
30,,13083
132,1,13085
55,,13085
16,,13087
22,1,13087
4121,1,13089
1040,,13089
19,1,13091
7,,13091
19,1,13093
9,,13093
402,1,13095
278,,13095
439,1,13097
194,,13097
1,1,13099
2,,13099
149,1,13103
132,,13103
40,1,13105
14,,13105
60,1,13107
14,,13107
1,,13109
4,1,13109
200,1,13111
69,,13111
901,1,13113
276,,13113
290,1,13115
175,,13115
813,1,13117
436,,13117
40,1,13119
18,,13119
10775,,13121
24949,1,13121
173,1,13123
86,,13123
1,,13125
253,1,13127
259,,13127
164,1,13129
142,,13129
40,1,13131
27,,13131
65,1,13133
33,,13133
2414,,13135
4865,1,13135
70,1,13137
50,,13137
825,1,13139
553,,13139
50,1,13143
27,,13143
12,1,13145
11,,13145
107,1,13147
69,,13147
8,1,13149
6,,13149
1015,1,13151
542,,13151
890,1,13153
437,,13153
1,,13155
4,1,13155
432,1,13157
321,,13157
10,,13159
16,1,13159
5,1,13161
13,,13161
2,1,13163
5,,13163
2,1,13165
2,,13165
3,,13167
14,1,13167
137,1,13169
141,,13169
11,,13171
25,1,13171
4,,13173
7,1,13173
86,1,13175
59,,13175
7,1,13177
5,,13177
177,1,13179
88,,13179
9,,13181
14,1,13181
408,1,13185
240,,13185
692,1,13187
318,,13187
19,,13189
26,1,13189
20,1,13191
13,,13191
2,1,13193
5,,13193
5,1,13195
8,,13195
4,1,13197
9,,13197
5,1,13199
4,,13199
8,,13201
7,1,13201
46,1,13205
8,,13205
40,1,13207
24,,13207
29,1,13211
36,,13211
124,1,13213
79,,13213
868,1,13215
363,,13215
266,1,13217
164,,13217
16,,13219
59,1,13219
205,1,13223
122,,13223
78,1,13225
24,,13225
163,1,13227
73,,13227
31,,13229
34,1,13229
5,1,13231
4,,13231
122,1,13233
65,,13233
10,,13235
12,1,13235
9,1,13237
10,,13237
16,1,13239
10,,13239
10,1,13241
24,,13241
2,1,13243
3,,13243
789,1,13245
322,,13245
273,1,13247
117,,13247
3,1,13249
36,1,13251
13,,13251
2,1,13253
126,1,13255
65,,13255
35,,13257
30,1,13257
49,1,13261
38,,13261
25,1,13267
14,,13267
5,1,13269
8,,13269
1,,13271
1,1,13273
3,,13273
148,1,13275
90,,13275
106,1,13277
134,,13277
54,1,13279
29,,13279
40,1,13281
18,,13281
6,1,13283
7,,13283
164,1,13285
101,,13285
9,1,13287
1,1,13289
48,1,13291
16,,13291
132,1,13293
68,,13293
130,1,13295
87,,13295
