"views","date_id","candidate"
9152,20160101,"Clinton"
8421,20160102,"Clinton"
8832,20160103,"Clinton"
6806,20160104,"Clinton"
8963,20160105,"Clinton"
13612,20160106,"Clinton"
16177,20160107,"Clinton"
13637,20160108,"Clinton"
41545,20160109,"Clinton"
42224,20160110,"Clinton"
25712,20160111,"Clinton"
31904,20160112,"Clinton"
36594,20160113,"Clinton"
33974,20160114,"Clinton"
22655,20160115,"Clinton"
19688,20160116,"Clinton"
18307,20160117,"Clinton"
20471,20160118,"Clinton"
24541,20160119,"Clinton"
29568,20160120,"Clinton"
36387,20160121,"Clinton"
36253,20160122,"Clinton"
30490,20160123,"Clinton"
23206,20160124,"Clinton"
25770,20160125,"Clinton"
34978,20160126,"Clinton"
52558,20160127,"Clinton"
56157,20160128,"Clinton"
63370,20160129,"Clinton"
57924,20160130,"Clinton"
60184,20160131,"Clinton"
30166,20160201,"Clinton"
20348,20160202,"Clinton"
17529,20160203,"Clinton"
22027,20160204,"Clinton"
27717,20160205,"Clinton"
39193,20160206,"Clinton"
215758,20160207,"Clinton"
58861,20160208,"Clinton"
33638,20160209,"Clinton"
19025,20160210,"Clinton"
20507,20160211,"Clinton"
35180,20160212,"Clinton"
23131,20160213,"Clinton"
20891,20160214,"Clinton"
26680,20160215,"Clinton"
23890,20160216,"Clinton"
39900,20160217,"Clinton"
147909,20160218,"Clinton"
104523,20160219,"Clinton"
36038,20160220,"Clinton"
45579,20160221,"Clinton"
38526,20160222,"Clinton"
27862,20160223,"Clinton"
29826,20160224,"Clinton"
116243,20160225,"Clinton"
72911,20160226,"Clinton"
31440,20160227,"Clinton"
20974,20160228,"Clinton"
18242,20160229,"Clinton"
23511,20160301,"Clinton"
16489,20160302,"Clinton"
12798,20160303,"Clinton"
14022,20160304,"Clinton"
17042,20160305,"Clinton"
14468,20160306,"Clinton"
14128,20160307,"Clinton"
12843,20160308,"Clinton"
10131,20160309,"Clinton"
49896,20160310,"Clinton"
100692,20160311,"Clinton"
27412,20160312,"Clinton"
19140,20160313,"Clinton"
22248,20160314,"Clinton"
22655,20160315,"Clinton"
18531,20160316,"Clinton"
160343,20160317,"Clinton"
153407,20160318,"Clinton"
63218,20160319,"Clinton"
32154,20160320,"Clinton"
13135,20160321,"Clinton"
11556,20160322,"Clinton"
8618,20160323,"Clinton"
10354,20160324,"Clinton"
11138,20160325,"Clinton"
8280,20160326,"Clinton"
8522,20160327,"Clinton"
8777,20160328,"Clinton"
7463,20160329,"Clinton"
46349,20160330,"Clinton"
30095,20160331,"Clinton"
13124,20160401,"Clinton"
9398,20160402,"Clinton"
9096,20160403,"Clinton"
8787,20160404,"Clinton"
7127,20160405,"Clinton"
8251,20160406,"Clinton"
11603,20160407,"Clinton"
11392,20160408,"Clinton"
7584,20160409,"Clinton"
7680,20160410,"Clinton"
54459,20160411,"Clinton"
49220,20160412,"Clinton"
16033,20160413,"Clinton"
8631,20160414,"Clinton"
11894,20160415,"Clinton"
10686,20160416,"Clinton"
18728,20160417,"Clinton"
11657,20160418,"Clinton"
22256,20160419,"Clinton"
33190,20160420,"Clinton"
27123,20160421,"Clinton"
26350,20160422,"Clinton"
19474,20160423,"Clinton"
15534,20160424,"Clinton"
83285,20160425,"Clinton"
71733,20160426,"Clinton"
9860,20160427,"Clinton"
10892,20160428,"Clinton"
6885,20160429,"Clinton"
14252,20160430,"Clinton"
17676,20160501,"Clinton"
8134,20160502,"Clinton"
14303,20160503,"Clinton"
13435,20160504,"Clinton"
11285,20160505,"Clinton"
26068,20160506,"Clinton"
19975,20160507,"Clinton"
11365,20160508,"Clinton"
13411,20160509,"Clinton"
29606,20160510,"Clinton"
14072,20160511,"Clinton"
8860,20160512,"Clinton"
5990,20160513,"Clinton"
5868,20160514,"Clinton"
5223,20160515,"Clinton"
22040,20160516,"Clinton"
415948,20160517,"Clinton"
137750,20160518,"Clinton"
30781,20160519,"Clinton"
13619,20160520,"Clinton"
12084,20160521,"Clinton"
8939,20160522,"Clinton"
7940,20160523,"Clinton"
10965,20160524,"Clinton"
8655,20160525,"Clinton"
6272,20160526,"Clinton"
8820,20160527,"Clinton"
6271,20160528,"Clinton"
6072,20160529,"Clinton"
5475,20160530,"Clinton"
5612,20160531,"Clinton"
6307,20160601,"Clinton"
8334,20160602,"Clinton"
16800,20160603,"Clinton"
18830,20160604,"Clinton"
19128,20160605,"Clinton"
90637,20160606,"Clinton"
331556,20160607,"Clinton"
421174,20160608,"Clinton"
822872,20160609,"Clinton"
502734,20160610,"Clinton"
130734,20160611,"Clinton"
231533,20160612,"Clinton"
138869,20160613,"Clinton"
304974,20160614,"Clinton"
241421,20160615,"Clinton"
284596,20160616,"Clinton"
225086,20160617,"Clinton"
290092,20160618,"Clinton"
261561,20160619,"Clinton"
111985,20160620,"Clinton"
62869,20160621,"Clinton"
44095,20160622,"Clinton"
43748,20160623,"Clinton"
48795,20160624,"Clinton"
44433,20160625,"Clinton"
134584,20160626,"Clinton"
75005,20160627,"Clinton"
146261,20160628,"Clinton"
27108,20160629,"Clinton"
27659,20160630,"Clinton"
24993,20160701,"Clinton"
11429,20160702,"Clinton"
8257,20160703,"Clinton"
7635,20160704,"Clinton"
13626,20160705,"Clinton"
13213,20160706,"Clinton"
13362,20160707,"Clinton"
11810,20160708,"Clinton"
33123,20160709,"Clinton"
31093,20160710,"Clinton"
61280,20160711,"Clinton"
126179,20160712,"Clinton"
115479,20160713,"Clinton"
342956,20160714,"Clinton"
282273,20160715,"Clinton"
186536,20160716,"Clinton"
154659,20160717,"Clinton"
466344,20160718,"Clinton"
240458,20160719,"Clinton"
164591,20160720,"Clinton"
180492,20160721,"Clinton"
170882,20160722,"Clinton"
152380,20160723,"Clinton"
145135,20160724,"Clinton"
170480,20160725,"Clinton"
166915,20160726,"Clinton"
141162,20160727,"Clinton"
144899,20160728,"Clinton"
163905,20160729,"Clinton"
62594,20160730,"Clinton"
53526,20160731,"Clinton"
63263,20160801,"Clinton"
88708,20160802,"Clinton"
81262,20160803,"Clinton"
146659,20160804,"Clinton"
212498,20160805,"Clinton"
182590,20160806,"Clinton"
182625,20160807,"Clinton"
139822,20160808,"Clinton"
77491,20160809,"Clinton"
71955,20160810,"Clinton"
43523,20160811,"Clinton"
49922,20160812,"Clinton"
48802,20160813,"Clinton"
47224,20160814,"Clinton"
47238,20160815,"Clinton"
47612,20160816,"Clinton"
47810,20160817,"Clinton"
79956,20160818,"Clinton"
69492,20160819,"Clinton"
45858,20160820,"Clinton"
39764,20160821,"Clinton"
174552,20160822,"Clinton"
111997,20160823,"Clinton"
130681,20160824,"Clinton"
93202,20160825,"Clinton"
205214,20160826,"Clinton"
255253,20160827,"Clinton"
137815,20160828,"Clinton"
82568,20160829,"Clinton"
89041,20160830,"Clinton"
41770,20160831,"Clinton"
66977,20160901,"Clinton"
33827,20160902,"Clinton"
29524,20160903,"Clinton"
28144,20160904,"Clinton"
30364,20160905,"Clinton"
360589,20160906,"Clinton"
395405,20160907,"Clinton"
67285,20160908,"Clinton"
50209,20160909,"Clinton"
49370,20160910,"Clinton"
42460,20160911,"Clinton"
29362,20160912,"Clinton"
158397,20160913,"Clinton"
94755,20160914,"Clinton"
33603,20160915,"Clinton"
31239,20160916,"Clinton"
37350,20160917,"Clinton"
33823,20160918,"Clinton"
34897,20160919,"Clinton"
39405,20160920,"Clinton"
36513,20160921,"Clinton"
48024,20160922,"Clinton"
1962016,20160923,"Clinton"
878917,20160924,"Clinton"
405262,20160925,"Clinton"
283654,20160926,"Clinton"
390029,20160927,"Clinton"
272152,20160928,"Clinton"
132051,20160929,"Clinton"
128422,20160930,"Clinton"
97042,20161001,"Clinton"
48082,20161002,"Clinton"
73413,20161003,"Clinton"
56012,20161004,"Clinton"
144587,20161005,"Clinton"
7790,20160101,"Trump"
10455,20160102,"Trump"
8175,20160103,"Trump"
7623,20160104,"Trump"
6710,20160105,"Trump"
6873,20160106,"Trump"
7067,20160107,"Trump"
7626,20160108,"Trump"
7637,20160109,"Trump"
7698,20160110,"Trump"
6668,20160111,"Trump"
6977,20160112,"Trump"
7041,20160113,"Trump"
7652,20160114,"Trump"
8565,20160115,"Trump"
37375,20160116,"Trump"
32864,20160117,"Trump"
59947,20160118,"Trump"
28910,20160119,"Trump"
31332,20160120,"Trump"
21452,20160121,"Trump"
68441,20160122,"Trump"
59333,20160123,"Trump"
35074,20160124,"Trump"
32728,20160125,"Trump"
27990,20160126,"Trump"
35905,20160127,"Trump"
35503,20160128,"Trump"
30823,20160129,"Trump"
67158,20160130,"Trump"
53677,20160131,"Trump"
91311,20160201,"Trump"
49991,20160202,"Trump"
29187,20160203,"Trump"
20723,20160204,"Trump"
14291,20160205,"Trump"
18712,20160206,"Trump"
12718,20160207,"Trump"
24973,20160208,"Trump"
29074,20160209,"Trump"
26340,20160210,"Trump"
21831,20160211,"Trump"
18129,20160212,"Trump"
16912,20160213,"Trump"
19120,20160214,"Trump"
18342,20160215,"Trump"
26966,20160216,"Trump"
26518,20160217,"Trump"
21989,20160218,"Trump"
19680,20160219,"Trump"
23719,20160220,"Trump"
31670,20160221,"Trump"
42136,20160222,"Trump"
41250,20160223,"Trump"
44200,20160224,"Trump"
32979,20160225,"Trump"
33682,20160226,"Trump"
39299,20160227,"Trump"
46409,20160228,"Trump"
57095,20160229,"Trump"
68504,20160301,"Trump"
90976,20160302,"Trump"
53001,20160303,"Trump"
42610,20160304,"Trump"
36987,20160305,"Trump"
46748,20160306,"Trump"
229121,20160307,"Trump"
358332,20160308,"Trump"
117904,20160309,"Trump"
48052,20160310,"Trump"
46527,20160311,"Trump"
55034,20160312,"Trump"
58915,20160313,"Trump"
52375,20160314,"Trump"
88669,20160315,"Trump"
43929,20160316,"Trump"
35148,20160317,"Trump"
44808,20160318,"Trump"
35148,20160319,"Trump"
32393,20160320,"Trump"
32663,20160321,"Trump"
58341,20160322,"Trump"
27730,20160323,"Trump"
23980,20160324,"Trump"
20048,20160325,"Trump"
19166,20160326,"Trump"
19874,20160327,"Trump"
20580,20160328,"Trump"
19465,20160329,"Trump"
18550,20160330,"Trump"
43772,20160331,"Trump"
28731,20160401,"Trump"
19583,20160402,"Trump"
17621,20160403,"Trump"
17388,20160404,"Trump"
49603,20160405,"Trump"
17156,20160406,"Trump"
13457,20160407,"Trump"
11638,20160408,"Trump"
11830,20160409,"Trump"
12217,20160410,"Trump"
16446,20160411,"Trump"
19822,20160412,"Trump"
13043,20160413,"Trump"
15132,20160414,"Trump"
12038,20160415,"Trump"
13820,20160416,"Trump"
13366,20160417,"Trump"
14007,20160418,"Trump"
27864,20160419,"Trump"
55323,20160420,"Trump"
19825,20160421,"Trump"
23789,20160422,"Trump"
24285,20160423,"Trump"
27074,20160424,"Trump"
29505,20160425,"Trump"
27192,20160426,"Trump"
19978,20160427,"Trump"
20402,20160428,"Trump"
21960,20160429,"Trump"
66225,20160430,"Trump"
66537,20160501,"Trump"
69109,20160502,"Trump"
53086,20160503,"Trump"
33465,20160504,"Trump"
33970,20160505,"Trump"
24883,20160506,"Trump"
21720,20160507,"Trump"
20137,20160508,"Trump"
21858,20160509,"Trump"
19347,20160510,"Trump"
17865,20160511,"Trump"
18440,20160512,"Trump"
15769,20160513,"Trump"
16083,20160514,"Trump"
14759,20160515,"Trump"
15094,20160516,"Trump"
15395,20160517,"Trump"
13610,20160518,"Trump"
13147,20160519,"Trump"
12628,20160520,"Trump"
17852,20160521,"Trump"
13494,20160522,"Trump"
12162,20160523,"Trump"
13165,20160524,"Trump"
13996,20160525,"Trump"
15008,20160526,"Trump"
14302,20160527,"Trump"
12795,20160528,"Trump"
11148,20160529,"Trump"
12022,20160530,"Trump"
12518,20160531,"Trump"
47057,20160601,"Trump"
84109,20160602,"Trump"
24736,20160603,"Trump"
12614,20160604,"Trump"
77437,20160605,"Trump"
72092,20160606,"Trump"
50833,20160607,"Trump"
37279,20160608,"Trump"
73191,20160609,"Trump"
28637,20160610,"Trump"
17595,20160611,"Trump"
16048,20160612,"Trump"
16291,20160613,"Trump"
15399,20160614,"Trump"
12506,20160615,"Trump"
15999,20160616,"Trump"
14284,20160617,"Trump"
11065,20160618,"Trump"
9061,20160619,"Trump"
23381,20160620,"Trump"
18637,20160621,"Trump"
13203,20160622,"Trump"
168346,20160623,"Trump"
165590,20160624,"Trump"
90230,20160625,"Trump"
92839,20160626,"Trump"
117000,20160627,"Trump"
19921,20160628,"Trump"
17802,20160629,"Trump"
14326,20160630,"Trump"
13776,20160701,"Trump"
8809,20160702,"Trump"
8012,20160703,"Trump"
8167,20160704,"Trump"
10951,20160705,"Trump"
20793,20160706,"Trump"
17383,20160707,"Trump"
10280,20160708,"Trump"
8446,20160709,"Trump"
8446,20160710,"Trump"
8038,20160711,"Trump"
9538,20160712,"Trump"
9403,20160713,"Trump"
9152,20160714,"Trump"
21279,20160715,"Trump"
208910,20160716,"Trump"
173885,20160717,"Trump"
214295,20160718,"Trump"
226720,20160719,"Trump"
1123767,20160720,"Trump"
300495,20160721,"Trump"
181967,20160722,"Trump"
68756,20160723,"Trump"
15687,20160724,"Trump"
118540,20160725,"Trump"
163848,20160726,"Trump"
284511,20160727,"Trump"
190110,20160728,"Trump"
159133,20160729,"Trump"
120649,20160730,"Trump"
58046,20160731,"Trump"
33162,20160801,"Trump"
22760,20160802,"Trump"
19743,20160803,"Trump"
18218,20160804,"Trump"
24340,20160805,"Trump"
46367,20160806,"Trump"
38172,20160807,"Trump"
24721,20160808,"Trump"
15577,20160809,"Trump"
13648,20160810,"Trump"
14135,20160811,"Trump"
10861,20160812,"Trump"
11661,20160813,"Trump"
13097,20160814,"Trump"
11741,20160815,"Trump"
12208,20160816,"Trump"
11228,20160817,"Trump"
16368,20160818,"Trump"
13669,20160819,"Trump"
16228,20160820,"Trump"
12272,20160821,"Trump"
11274,20160822,"Trump"
12361,20160823,"Trump"
30436,20160824,"Trump"
14238,20160825,"Trump"
303032,20160826,"Trump"
422456,20160827,"Trump"
351556,20160828,"Trump"
315436,20160829,"Trump"
299926,20160830,"Trump"
343365,20160831,"Trump"
342794,20160901,"Trump"
303104,20160902,"Trump"
340617,20160903,"Trump"
335663,20160904,"Trump"
335586,20160905,"Trump"
39794,20160906,"Trump"
87337,20160907,"Trump"
133548,20160908,"Trump"
131912,20160909,"Trump"
122055,20160910,"Trump"
117034,20160911,"Trump"
115952,20160912,"Trump"
89495,20160913,"Trump"
90623,20160914,"Trump"
98533,20160915,"Trump"
98419,20160916,"Trump"
94401,20160917,"Trump"
91416,20160918,"Trump"
110967,20160919,"Trump"
147371,20160920,"Trump"
180949,20160921,"Trump"
151507,20160922,"Trump"
126048,20160923,"Trump"
122938,20160924,"Trump"
133210,20160925,"Trump"
182784,20160926,"Trump"
502253,20160927,"Trump"
298718,20160928,"Trump"
156555,20160929,"Trump"
107822,20160930,"Trump"
33956,20161001,"Trump"
122591,20161002,"Trump"
148583,20161003,"Trump"
153545,20161004,"Trump"
167963,20161005,"Trump"
